Query,Grouped_Intent,answer
can i study subjects from another department during summer?,academics,"Yes, cross-departmental enrollment is often allowed with permission."
can i get a refund for dropped course?,academics,"Yes, full refund if dropped within Add/Drop week."
can i submit an assignment late?,academics,Late submissions accepted with grade penalty unless excused.
are there any evening language courses?,academics,"Yes, options include Arabic, German, and French."
can i take more than 18 credit hours?,academics,Request for overload must be approved by Academic Council.
do we have online summer courses?,academics,"Yes, selected courses are offered during summer semester."
are there lockers in academic blocks?,academics,Limited lockers available upon request from admin.
what’s the last date to drop a course?,academics,End of 4th week from semester start.
where do i drop course change forms?,academics,Drop box at Academic Office or email scanned copy.
what happens if i fail a course?,academics,You must retake the course in the next available semester.
where can i get my enrollment verification letter?,academics,Request it from the registrar's office or through the portal.
how do i contact my academic advisor?,academics,"Advisor contact details are listed in your student portal under ""My Advisors""."
"how do i register for summer semester courses?,",academics,"You can register for summer semester courses through the LMS portal during the registration window.,"
"what is the deadline to withdraw from a course?,",academics,"The deadline to withdraw from a course is usually in the 8th week of the semester.,"
"can i take courses from other departments?,",academics,"Yes, with advisor and department approval, cross-departmental course registration is allowed.,"
can i complete extra credit hours during the summer?,academics,"Yes, you can take additional credit hours within the summer limit set by your university."
what is the credit hour limit for the summer semester?,academics,Most universities allow a maximum of 6–9 credit hours in summer.
how many credit hours can i take in one semester?,academics,Undergraduate students can register up to 18 credit hours.
how do i get approval from my advisor for summer course registration?,academics,You can contact your advisor via email or portal and request approval for selected courses.
are there special instructions for submitting assignments in online summer classes?,academics,"Yes, instructions will be shared via LMS or by email before the due date."
where can i find course outlines?,academics,Available on LMS and department websites.
do i need advisor approval for internship credits?,academics,"Yes, most departments require your advisor’s approval for internships to count as academic credit."
can i access course evaluations from last semester?,academics,"Yes, evaluations are available under the “Academics” tab in the portal."
where can i get a copy of the academic handbook?,academics,Download it from the student portal or collect from Registrar Office.
can i submit handwritten assignments?,academics,"No, typed assignments are mandatory unless stated otherwise."
are co-curricular activities marked?,academics,Some programs offer 1–2 credits for verified activity participation.
can i get an exemption from specific courses?,academics,Apply with supporting documents and academic transcripts for exemption.
can i access course videos after the semester ends?,academics,"Yes, some faculty keep recordings available for 1 extra month."
can i check course outlines online?,academics,"Yes, they're uploaded on LMS under each course title."
what is the deadline to add/drop subjects?,academics,Usually during the first 2 weeks of the semester.
can i submit assignments via email?,academics,Only if explicitly allowed by the instructor.
how do i sign up for extra credit projects?,academics,Ask your instructor or check LMS announcements.
what is the credit transfer policy from other universities?,academics,Up to 30% of credits may transfer if courses match our syllabus and grades were B or above.
are there penalties for dropping core courses?,academics,Dropping core courses requires Dean approval and may delay graduation by one semester.
can i audit courses without registration?,academics,Auditing requires instructor permission and 50% tuition fee payment.
can i get a refund for canceled courses?,academics,100% refund if canceled before add/drop period ends.
can i take a motorcycle safety course for credit?,academics,"Some universities may offer a motorcycle safety course for credit. Check with the registrar's office or the course catalog.,"
can i take a firearms safety course through the university?,academics,"No, firearms safety courses are not typically offered through the university. Check with local organizations for options.,"
can i take a wilderness survival course for credit?,academics,"Yes, a wilderness survival course may be available for credit through the outdoor education department. Check with them.,"
can i take a chainsaw safety course through forestry?,academics,"Yes, you can take a chainsaw safety course through the forestry department for credit. Check with them for details."
can i retake a course to improve grade?,academics,"Yes, after written permission from your department head."
can i take extra credit courses in summer?,academics,"Yes, offered during summer semester registration."
where do i submit documents for credit transfer?,academics,Submit transcripts and course outlines to the Credit Transfer Cell.
can i submit digital assignments via email?,academics,"Most instructors require submission via LMS, not email."
are there any short courses offered during summer break?,academics,"Yes, many departments and external partners offer short-term skill-based courses."
how do i request a change of advisor?,academics,Submit a formal request to the department head for advisor reassignment.
what happens if i fail a summer course?,academics,It will appear on your transcript. You may need to retake it in the next available semester.
how do i know which courses are offered this summer?,academics,The list is posted on the university website or student portal each semester.
how do i apply for course withdrawal?,academics,Fill the course withdrawal form and get approval from your advisor.
how do i submit an assignment through lms?,academics,Upload your file in the assignment section before the due date.
can alumni join summer programs or courses?,academics,"Yes, in some cases alumni can join short courses or certifications during summer."
what are the admission requirements for the bs psychology program?,admission_info,You need a minimum of 60% in intermediate with any background. Preference is given to students with psychology or biology.
what are the admission requirements for the bs food science & technology program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs environmental sciences program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs urban forestry program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs geology program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs llb program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs education program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs islamic & religious studies program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs english (language & literature) program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
are provisional admission letters issued?,admission_info,Provisional admission is granted only to pending final-year students awaiting results.
what are the admission requirements for the bs banking and finance program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what is the application fee for international students?,admission_info,"The application fee for international students is $50 USD, payable through the online portal."
what are the admission requirements for the bs business analytics program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs tourism and hospitality management program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs pakistan studies program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what do i do if i lose my exam admit card?,admission_info,Reprint it from LMS or contact the exam branch.
what are the admission requirements for the bs political science program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs history program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs international relations program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
how do i reprint my admit card?,admission_info,Login to portal → Exam Section → Download admit card again.
what are the admission requirements for the bs economics program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
is there an admission quota for disabled students?,admission_info,"Yes, 2% of seats are reserved for students with disabilities across all programs."
what are the admission requirements for the bs chemistry program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs agriculture program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs climate change program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs botany program?,admission_info,You need a minimum of 60% in intermediate with FSc Pre-Medical background.
what are the admission requirements for the bs biochemistry program?,admission_info,You need a minimum of 60% in intermediate with FSc Pre-Medical background.
what are the admission requirements for the bs zoology program?,admission_info,You need a minimum of 60% in intermediate with FSc Pre-Medical background.
what are the admission requirements for the bs microbiology program?,admission_info,You need a minimum of 60% in intermediate with FSc Pre-Medical background.
what are the admission requirements for the bs doctor of physical therapy program?,admission_info,You need at least 60% marks in FSc Pre-Medical.
what are the admission requirements for the bs anesthesia technology program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs radiology technology program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
"what are the office hours of the admissions department?,",admission_info,"The admissions department is open from 9 AM to 4 PM, Monday to Friday.,"
what are the admission requirements for the bs dental technology program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs aesthetic and cosmetology program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what is the deadline to register for summer courses?,admission_info,Summer course registration ends June 15th.
what are the admission requirements for the bs optometry program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs human nutrition and dietetics program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs computer science program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs software engineering program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs artificial intelligence program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs data science program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs cyber security program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
where can i collect my admit card for midterms?,admission_info,Collect it from the examination branch or download from the portal.
what are the admission requirements for the bs physics program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs mathematics program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs statistics program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs public health program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs computer science program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
what are the admission requirements for the bs sport science & physical education program?,admission_info,You need a minimum of 60% in intermediate with Math or ICS background.
when do admissions open for the spring semester?,admission_info,Admissions for Spring semester typically begin in December.
how can i apply for admission online?,admission_info,Visit the university's admission portal and fill the application form online.
is there any entry test for undergraduate programs?,admission_info,"Yes, most undergraduate programs require an entry test."
what is the deadline to submit admission forms?,admission_info,The deadline is usually within 4 weeks of the admission opening date.
what are the documents required at the time of admission?,admission_info,"You need CNIC, previous transcripts, passport-sized photos, and character certificate."
how can i confirm my admission after selection?,admission_info,Visit the admission office and submit the required documents with the fee challan.
what is the minimum gpa required for admission in ms programs?,admission_info,A minimum CGPA of 2.5 in undergraduate is required for MS program eligibility.
can i attend university events as an alumni?,alumni_services,"Yes, alumni are welcome to attend with prior registration."
how do i get an alumni id?,alumni_services,Request it via the Alumni Relations Portal.
how do i access the alumni job portal?,alumni_services,Register with your graduation year and student ID at careers.alumni.edu.
do alumni get access to job portals?,alumni_services,"Yes, access granted after registration with alumni office."
what id is needed for convocation entry?,event_info,Student ID card or NIC is mandatory for entry.
how do i register for convocation?,event_info,Apply online through the student portal once notified.
can i invite my parents to the convocation ceremony?,event_info,"Yes, each graduate can invite up to 2 guests."
is there a dress code for convocation?,event_info,"Yes, formal attire with gown and cap is mandatory."
can i bring guests to university events?,event_info,Guests are allowed with valid event passes only.
how do i volunteer for convocation?,event_info,Submit application via Student Services at least 1 month prior.
is there any orientation for transfer students?,event_info,"Yes, usually held in first week after semester begins."
do i need to attend orientation?,event_info,Mandatory for all new undergraduate students.
are there group discounts for seminars?,event_info,"Yes, 10% off for groups of 5 or more students."
can parents attend orientation day?,event_info,"Yes, parents are welcome to attend the first-day orientation."
can parents attend orientation?,event_info,"Yes, a parallel session is held for parents."
where can i find the calendar of events?,event_info,Posted on the LMS dashboard and official website.
where can i find event photos?,event_info,Uploaded on university portal and official Facebook page.
"when does the convocation ceremony usually take place?,",event_info,"Convocation typically takes place in December. Dates are announced on the university website.,"
how do i pay for supplementary exams?,exam_info,Pay via finance portal or university bank account with slip.
do online exams require camera and mic access?,exam_info,"Yes, you may be required to have both for proctoring purposes."
are there makeup exams for summer semester courses?,exam_info,"Yes, makeup exams may be scheduled in case of valid absence or emergency."
are online exams open-book during summer courses?,exam_info,It depends on the course policy; some may be open-book while others are not.
are there tutorials before exams?,exam_info,"Yes, most departments offer prep tutorials a week before."
is proctoring required for online summer exams?,exam_info,"Yes, most online exams are monitored via camera and screen recording tools."
can i request extra time for summer online exams due to disability?,exam_info,"Yes, with documentation, you can request accommodations through the disability office."
can i use my own laptop during exams?,exam_info,Only if explicitly allowed by instructor and proctor.
is there a mock exam before the actual summer online exam?,exam_info,Some departments offer mock exams for practice; check with your course instructor.
what should i do if i face technical issues during an online exam?,exam_info,Immediately contact your course instructor and IT support with proof of the issue.
what if i have two exams at the same time?,exam_info,Request a clash resolution through the examination branch.
can i use the same exam portal for summer as the regular semester?,exam_info,"Yes, the same platform is generally used for both regular and summer exams."
what is the duration of online exams during summer courses?,exam_info,"Exam lengths vary by course, but typically range from 1 to 3 hours."
can i view final exam scripts?,exam_info,"Yes, submit a script viewing request within 7 days of result."
are calculators allowed in online exams?,exam_info,Depends on course; see exam instructions.
what is the rechecking policy for exams?,exam_info,Submit a rechecking request within 7 days of result announcement.
"what are the rules for carrying electronics into exams?,",exam_info,"Electronics such as phones and smartwatches are strictly prohibited inside the examination hall.,"
are there free language proficiency tests?,exam_info,"Yes, free language proficiency tests are offered through the language department. Check with them for availability.,"
what is the process for degree attestation?,exam_info,Submit the original degree and a copy to the registrar's office.
what's the policy on protest marches?,exam_info,Approved demonstrations allowed in designated free speech zones.
are there prayer breaks during exams?,exam_info,15-minute breaks are allowed for religious observances with prior notice.
can i change exam center after registration?,exam_info,Only with valid reason and department head approval.
how are summer semester exams conducted online?,exam_info,Through the university’s LMS or exam portal with proctoring tools enabled.
how do i register for on-campus photography contests?,exam_info,Details are posted on the notice board and student portal.
what happens if i'm late to a final exam?,exam_info,Latecomers may enter within the first 30 minutes but get no extra time.
how do i request exam accommodations for dyslexia?,exam_info,Submit medical documentation to Student Disability Services 3 weeks before exams.
what is the fee for reappearing in exams?,exam_info,"PKR 1,000 per course for retakes."
what id is valid for exam entry?,exam_info,"University ID card, national ID, or passport are accepted for exam entry."
how are lab exams weighted in final grades?,exam_info,Lab exams count for 40% of your practical course grade and 20% of overall course marks.
are there free std testing clinics?,exam_info,Monthly clinics at Health Center; appointments required.
can i see my old answer sheets?,exam_info,Request it from the examination branch within 7 days of result.
what to do if i miss an exam due to illness?,exam_info,Submit medical certificate to the exam branch within 3 days.
where is the examination branch located?,exam_info,"In Block B, near the admission office."
is there a separate timetable for summer exams?,exam_info,"Yes, the summer exam schedule is announced separately by the examination office."
can i appeal against exam results?,exam_info,"Yes, submit a written appeal with fee within 10 days of result."
can i use a calculator during final exams?,exam_info,"Yes, unless otherwise restricted by the course instructor."
can i appear in exams with pending documents?,exam_info,You must clear document submission before appearing in final exams.
can day scholars avail hostel temporarily during exams?,exam_info,"Yes, temporary accommodation can be requested with special approval."
where can i find exam seating plans?,exam_info,Seating plans are displayed on department notice boards and LMS.
how do i apply for a makeup exam?,exam_info,Submit a makeup exam request with supporting documents within 3 days.
what happens if i fail the entry test?,exam_info,You cannot be admitted; you must re-apply in the next intake.
"when is the fee submission deadline for the fall semester?,",fee_info,"Fall semester fees must be submitted by the 15th of August.,"
is there a coffee loyalty program?,fee_info,10th coffee free with punch card
how do i get a fee challan?,fee_info,Available under “Finance” in Student Portal.
can i get advance fee receipt for visa?,fee_info,"Yes, request it from Finance Office with passport copy."
can i use the campus gym for free?,fee_info,Gym usage is free for registered students with ID.
can i pay my fee in installments?,fee_info,"Yes, fee installments are available upon approval from the finance office."
how do i give cafeteria feedback?,fee_info,Comment cards or online form
what payment methods are accepted?,fee_info,"Student ID, credit/debit cards, mobile wallets"
can i pay with mobile wallets?,fee_info,Apple/Google Pay accepted
can i pay my fees through credit card?,fee_info,"Yes, both debit and credit cards are accepted at finance counters."
what is the semester fee for bba program?,fee_info,"The BBA program costs around PKR 90,000 per semester."
where to pay convocation fee?,fee_info,Pay online or at Finance Office using your ID number.
can i attend classes if my fee is unpaid?,fee_info,Students with unpaid dues may be restricted from attending classes or exams.
what is the hostel fee per semester?,fee_info,"Hostel fee is PKR 45,000 per semester including accommodation and utilities."
can i use my student id to pay?,fee_info,"Yes, cashless payments via student ID"
are there special fees for online summer programs?,fee_info,"Yes, online summer programs may have different fee structures than regular ones."
how can i apply for a fee refund?,fee_info,Submit a written application to accounts office with valid reason and challan copy.
how do i pay my tuition fee online?,fee_info,Login to your student portal and go to the fee section to pay online.
where can i pay hostel mess dues?,fee_info,Mess dues are paid at the hostel accounts window or online.
is the security fee refundable after graduation?,fee_info,"Yes, it is refundable after clearance from all university departments."
is there a late fee penalty?,fee_info,"Yes, a penalty of PKR 1,000 is charged after the due date."
how much does it cost to enroll in summer courses?,fee_info,Summer courses often have separate per-credit-hour charges. Fees vary by course.
what is the average class duration?,general_info,Typically 90 minutes including 10-minute break.
can faculty members work as student mentors?,general_info,"Yes, assigned mentors support academic & personal guidance."
can i borrow lab equipment?,general_info,"Yes, with lab supervisor permission and valid ID."
do you sell whiteboard markers?,general_info,4-color sets for $5
is there a copy machine?,general_info,Self-service copiers at $0.15/page
can i take night classes?,general_info,Available for selected elective and language courses.
where do i submit my fyp progress report?,general_info,Submit via FYP Portal under Reports section.
can i pause my studies for a year?,general_info,"Yes, submit a semester freeze request to Registrar."
where is the stationery shop on campus?,general_info,"Next to cafeteria, inside Student Union Block."
what to do if assigned teacher is changed?,general_info,Changes are auto-updated on LMS and notice board.
can i see my degree progress online?,general_info,Check via Student Portal under “Academics” → “Degree Audit”.
are there internship opportunities at university itself?,general_info,"Yes, limited roles in IT, library, and marketing departments."
where do i report bullying cases?,general_info,Student Conduct Office or safe@university.edu.pk.
is final year project mandatory for all programs?,general_info,"Yes, required for engineering, CS, and business degrees."
what is the process for transcript request?,general_info,Fill the form on student portal and collect it from the registrar's office.
do students get access to turnitin?,general_info,"Yes, available through LMS with instructor-provided credentials."
are there photocopy services near classrooms?,general_info,Block B basement and Student Union corridor.
how can i join the newsletter team?,general_info,Apply via Student Clubs Form during registration week.
what is the eligibility for dean’s list?,general_info,GPA of 3.7+ and no disciplinary actions.
can i take online classes while on leave?,general_info,Only with prior approval from Dean’s Office.
where is the debate competition held?,general_info,Usually held in Seminar Hall or Auditorium.
are photocopies of transcripts accepted for jobs?,general_info,"Usually yes, but verify with employer – attested preferred."
how do i get access to matlab or spss?,general_info,Available through university license on LMS under “Software” tab.
can i get academic leave for competitions?,general_info,"Yes, submit event letter to Academics with Head approval."
can i attend faculty meetings as a rep?,general_info,"Yes, class reps attend monthly department meetings."
are there therapy sessions available?,general_info,"Yes, book via Counseling Center or email wellness@university.edu.pk."
can i donate blood on campus?,general_info,"Yes, camps are arranged every semester at Medical Block."
is there a maximum number of club memberships?,general_info,You can join up to 3 clubs per semester.
how to register for midterms?,general_info,Auto-registered once attendance criteria is met.
do i need approval for class project funding?,general_info,Get advisor and department head approval before purchase.
where do i submit internship forms?,general_info,Submit at the Career Services Office or upload via portal.
do you sell presentation folders?,general_info,10 colors available ($2–5)
are there student discounts?,general_info,10% off with valid ID
what’s the minimum cgpa to avoid warning?,general_info,Below 2.0 triggers academic warning and monitoring.
is there a student complaint suggestion box?,general_info,"Yes, available outside Student Affairs Office."
how do i join the robotics club?,general_info,Apply online during society recruitment week or visit Block F.
what’s the cafeteria closing time during ramadan?,general_info,Closes 15 minutes before iftar time.
are there fitness classes for students?,general_info,"Yes, free Zumba, yoga, and HIIT sessions every week."
is there career counseling available?,general_info,"Yes, appointments can be booked via the Career Portal."
how do i submit a project extension request?,general_info,Apply through advisor with justification and supporting documents.
what if my id card is damaged?,general_info,Submit damaged ID to Student Affairs for replacement.
are academic transcripts mailed home?,general_info,Only if requested; otherwise collected in person.
where is the lost and found for mobile phones?,general_info,Report to security office with item description.
can i meet my instructor outside office hours?,general_info,"Yes, but schedule appointment via email or LMS."
what’s the policy for submitting fyp late?,general_info,Late submissions are penalized 5% per day unless approved.
